company_name,total_funding,company_market,company_city,company_max_round,isAcquired,company_city_popular,company_market_popular,investor_ratings,company_category_list
Coremetrics,5.7,Enterprise Software,Mountain View,5,1,Mountain View,Enterprise Software,10.0,|Optimization|Analytics|Advertising|
Ringthree Technologies,9.0,E-Commerce,San Francisco,1,0,San Francisco,E-Commerce,10.0,|Software|
Juniper Medical,18.8,Biotechnology,Hayward,1,0,Other_city,Biotechnology,10.0,|Health Care|
Starvine,46.050006,Biotechnology,San Francisco,1,0,San Francisco,Biotechnology,10.0,|Software|
mFoundry,78.85,Marketing Automation,San Francisco,3,1,San Francisco,Other_market,9.666666666666666,|Mobile Payments|Mobile|
MyNewPlace,0.6,Curated Web,San Francisco,2,1,San Francisco,Curated Web,8.5,|Real Estate|
MediaPhy,56.351387,Mobile Security,San Jose,2,0,San Jose,Other_market,10.0,|Semiconductors|
Montalvo Systems,15.5,Predictive Analytics,San Francisco,2,1,San Francisco,Other_market,10.0,|Semiconductors|
Skybox Security,41.341484,Energy Efficiency,Sunnyvale,4,0,Sunnyvale,Other_market,9.5,|Network Security|Security|
AmberPoint,4.0,Semiconductors,Santa Clara,4,1,Santa Clara,Semiconductors,10.0,|Curated Web|
Complete Genomics,19.9,Mobile,Mountain View,5,0,Mountain View,Mobile,10.0,|Life Sciences|Biotechnology|
M2Z Networks,193.0,Credit,San Francisco,1,0,San Francisco,Other_market,10.0,|Mobile|
Ozmo Devices,2.9,Clean Technology,San Rafael,4,1,Other_city,Clean Technology,10.0,|Hardware + Software|
Neotract,46.0,Enterprise Software,Milpitas,2,0,Other_city,Enterprise Software,10.0,|Health Care|
Zimbra,19.0,Biotechnology,Menlo Park,3,1,Menlo Park,Biotechnology,9.333333333333334,|Collaboration|Productivity Software|Web Development|Email|Software|
Billeo,76.0,Games,Palo Alto,2,0,Palo Alto,Games,10.0,|Personal Finance|Finance|
DocuSign,1.0,Education,Mountain View,5,0,Mountain View,Education,9.880952380952381,|Information Security|Cloud Management|
Vormetric,19.8,Biotechnology,Redwood City,4,0,Redwood City,Biotechnology,9.75,|Enterprise Software|
Radar Networks,83.703892,Software,Santa Clara,2,1,Santa Clara,Software,8.909090909090908,|Semantic Web|SEO|Advertising|
Renkoo,72.05,Security,San Francisco,2,0,San Francisco,Security,9.0,|Facebook Applications|Events|Chat|Social Media|
Winster,5.0,Flash Storage,Santa Clara,1,0,Santa Clara,Other_market,10.0,|Games|
BridgeLux,1.0,Software,San Francisco,5,0,San Francisco,Software,9.916666666666666,|Manufacturing|
Ubicom,282.0,Security,San Francisco,5,0,San Francisco,Security,9.923076923076923,|Software|
Clearwell Systems,0.5,Software,San Mateo,3,1,San Mateo,Software,10.0,|Ediscovery|Enterprise Software|
Atrica,22.5,Recruiting,San Francisco,6,0,San Francisco,Other_market,9.777777777777779,|Web Hosting|
RMI Corporation,0.015,E-Commerce,San Francisco,0,1,San Francisco,E-Commerce,10.0,|Wireless|Infrastructure|Semiconductors|
Bridgestream,0.455,Clean Technology,San Francisco,2,1,San Francisco,Clean Technology,10.0,|Software|
Nangate,9.4,Apps,Palo Alto,2,0,Palo Alto,Other_market,10.0,|Semiconductors|
Before the Call,5.1,Social Network Media,San Francisco,1,0,San Francisco,Social Network Media,7.5,|Software|
SST Inc. (Formerly ShotSpotter),0.4,Internet Marketing,San Francisco,4,0,San Francisco,Other_market,9.628571428571428,|Analytics|
Authernative,8.0,Semiconductors,San Jose,1,0,San Jose,Semiconductors,10.0,|Enterprise Software|
Network Physics,268.412808,Technology,Santa Clara,0,1,Santa Clara,Technology,10.0,|Enterprise Software|
DiVitas Networks,2.35,Media,San Francisco,2,0,San Francisco,Other_market,9.909090909090908,|Messaging|
Cape Clear Software,35.7,Hardware + Software,Sunnyvale,4,0,Sunnyvale,Hardware + Software,10.0,|Software|
Nanochip,2.8,Social Search,San Francisco,3,0,San Francisco,Other_market,9.666666666666666,|Hardware|Semiconductors|
MiNOWireless,8.25,Data Security,San Francisco,1,0,San Francisco,Other_market,5.5,|Mobile|
Panaya,5.0,Residential Solar,San Francisco,4,0,San Francisco,Other_market,9.88888888888889,|Software|
Mobilygen,13.95,Enterprise Software,Larkspur,4,0,Other_city,Enterprise Software,10.0,|Semiconductors|
oDesk,2.076178,Hardware + Software,Palo Alto,4,0,Palo Alto,Hardware + Software,10.0,|Crowdsourcing|Freelancers|Staffing Firms|Employment|Human Resources|Curated Web|
Silverback Systems,1.845836,Communities,San Francisco,0,0,San Francisco,Other_market,10.0,|Web Hosting|
Icontrol Networks,0.8,Mobile,San Francisco,4,0,San Francisco,Mobile,9.944444444444445,|Security|
Contactual,33.6,Software,Mountain View,1,1,Mountain View,Software,10.0,|Hardware + Software|
FirstRain,1.5,Curated Web,Palo Alto,0,0,Palo Alto,Curated Web,10.0,|Analytics|
SOASTA,103.795,Technology,South San Francisco,5,0,Other_city,Technology,10.0,|Internet|Testing|Cloud Data Services|Cloud Computing|Enterprise Software|
Reconnex,88.2,Software,San Francisco,3,1,San Francisco,Software,10.0,|Data Security|Security|
Negevtech,14.255,Social Network Media,San Francisco,4,0,San Francisco,Social Network Media,10.0,|Semiconductors|
Powerset,1.601,Cloud Computing,San Francisco,1,1,San Francisco,Cloud Computing,9.11111111111111,|Search|
Anchiva Systems,12.2,Databases,Mountain View,0,0,Mountain View,Other_market,10.0,|Web Hosting|
Pageflakes,32.5,Biotechnology,South San Francisco,1,1,Other_city,Biotechnology,10.0,|Web Development|Web Design|Curated Web|
Bebo,27.394996,Enterprise Software,Redwood City,1,1,Redwood City,Enterprise Software,10.0,|Social Network Media|Social Media|
Cavendish Kinetics,0.05,Online Reservations,San Jose,2,0,San Jose,Other_market,9.625,|Semiconductors|
Avangate BV,0.4,Curated Web,San Francisco,1,1,San Francisco,Curated Web,8.5,|Incentives|E-Commerce|
Oodle,11.898299,Biotechnology,Emeryville,3,1,Other_city,Biotechnology,10.0,|Social Media|
Sharetivity,2.45,Semiconductors,San Jose,0,0,San Jose,Semiconductors,5.0,|Curated Web|
KAI Pharmaceuticals,1.217,Software,San Francisco,2,1,San Francisco,Software,10.0,|Medical|Biotechnology|
MOG,35.0,Storage,San Francisco,5,1,San Francisco,Other_market,8.666666666666666,|Internet Radio Market|Music|
Abazab,41.29,Advertising,San Francisco,0,0,San Francisco,Advertising,9.6,|Curated Web|
Proximic,70.95,Health Care,South San Francisco,3,0,Other_city,Health Care,10.0,|Advertising|Analytics|
DreamFactory Software,92.900035,Security,San Mateo,2,0,San Mateo,Security,10.0,|SaaS|Enterprise Software|
Atempo,8.0,Software,San Francisco,2,0,San Francisco,Software,10.0,|Software|
Hyperic,17.7,Enterprise Software,San Francisco,2,1,San Francisco,Enterprise Software,10.0,|Cloud Management|Software|
SEVEN Networks,949.975292,Analytics,Palo Alto,4,0,Palo Alto,Analytics,9.9,|Wireless|Mobile Infrastructure|Software|
MarkMonitor,0.55,Advertising,Palo Alto,0,1,Palo Alto,Advertising,10.0,|Enterprise Software|
Teja Technologies,76.2,Health Care,San Francisco,0,0,San Francisco,Health Care,9.75,|Software|
Sierra Design Automation,20.3,Enterprise Software,San Francisco,2,1,San Francisco,Enterprise Software,10.0,|Semiconductors|
Imperva,46.12,Fashion,San Francisco,4,0,San Francisco,Other_market,10.0,|Software|Security|
NinthDecimal,123.0,Finance,Menlo Park,2,0,Menlo Park,Finance,9.333333333333334,|Location Based Services|Mobile|Mobile Advertising|Mobile Analytics|Mobile Video|Brand Marketing|Ad Targeting|Direct Marketing|
Instantis,1.31,News,San Francisco,4,1,San Francisco,News,10.0,|Software|
moka5,15.0,Health Care,Sunnyvale,4,0,Sunnyvale,Health Care,10.0,|Enterprise Software|Software|
Intacct,29.128,Health Care,Fremont,7,0,Other_city,Health Care,10.0,|Software|Accounting|Finance|SaaS|Cloud Computing|Enterprise Software|
NeoPath Networks,0.4,Finance,San Francisco,3,1,San Francisco,Finance,10.0,|Enterprise Software|
Qumu,0.77,Mobile,San Francisco,3,1,San Francisco,Mobile,9.6875,|Video Streaming|Video|Software|
Presto Services,7.4,Curated Web,Foster City,0,0,Other_city,Curated Web,10.0,|Messaging|
ArchPro Design Automation,87.386,Biotechnology,Novato,2,0,Other_city,Biotechnology,,
SingShot Media,0.5,News,San Francisco,1,1,San Francisco,News,10.0,|Music|
Oorja Fuel Cells,14.0,Advertising,San Mateo,1,0,San Mateo,Advertising,8.142857142857142,|Clean Technology|
Cswitch,20.0,SEO,Sunnyvale,2,0,Sunnyvale,Other_market,9.875,|Semiconductors|
Krugle,48.0,Education,San Francisco,2,1,San Francisco,Education,10.0,|Search|
Berggi,1.2,Curated Web,San Francisco,0,0,San Francisco,Curated Web,9.0,|Mobile|
Silicor Materials,0.6,Curated Web,San Francisco,6,0,San Francisco,Curated Web,10.0,|Manufacturing|
Fangtek,32.8,Web CMS,San Francisco,3,0,San Francisco,Other_market,9.75,|Manufacturing|
SendMe,1.3,E-Commerce,San Francisco,4,0,San Francisco,E-Commerce,9.933333333333334,|Mobile|
Gaia Interactive,2.5,Curated Web,San Francisco,3,0,San Francisco,Curated Web,10.0,|Games|
Talend,37.945,Enterprise Application,San Francisco,4,0,San Francisco,Other_market,9.714285714285714,|Analytics|
Avvenu,49.0,Networking,San Francisco,0,1,San Francisco,Other_market,10.0,|Curated Web|
Packet Island,7.1,Mobile,Los Altos,1,1,Other_city,Mobile,9.666666666666666,|VoIP|SaaS|Software|
Widgetbox,12.0,News,Cupertino,2,0,Other_city,News,10.0,|File Sharing|Web Tools|Advertising|
Xobni,5.0,Social Media,Palo Alto,3,1,Palo Alto,Social Media,9.758620689655173,|Software|
Scribd,2.85,Software,Mountain View,3,0,Mountain View,Software,9.375,|Publishing|E-Books|Social Media|File Sharing|News|
Phonezoo Communications,1.24,Big Data,Palo Alto,1,0,Palo Alto,Big Data,10.0,|Databases|Mobile|Curated Web|
Silicon Clocks,189.7,Big Data,Santa Clara,2,1,Santa Clara,Big Data,10.0,|Manufacturing|
MerchantCircle,79.328131,Health Care,Menlo Park,2,1,Menlo Park,Health Care,9.555555555555555,|Direct Marketing|Estimation and Quoting|Advice|Consumers|Business Services|Local|Curated Web|
ANDA Networks,19.02641,Public Transportation,Santa Clara,0,0,Santa Clara,Other_market,9.333333333333334,|Mobile|
Provigent,13.0,Developer APIs,Redwood City,5,1,Redwood City,Other_market,9.777777777777779,|Semiconductors|
WSO2,14.379,Advertising,San Francisco,0,0,San Francisco,Advertising,9.833333333333334,|Open Source|Services|Software|
InnoPath Software,2.0,Enterprise Software,San Francisco,4,0,San Francisco,Enterprise Software,9.666666666666666,|iPhone|Mobile Security|Wireless|Mobile Devices|Mobile|
One True Media,3.0,Curated Web,Mountain View,2,0,Mountain View,Curated Web,10.0,|Collaboration|Video|Curated Web|
ClearApp,129.375,Health Care,South San Francisco,2,1,Other_city,Health Care,10.0,|Enterprise Software|
Qpixel Technology,1.1,Video,San Francisco,2,0,San Francisco,Video,9.25,|Semiconductors|
Crocus Technology,26.8,Health and Wellness,Palo Alto,4,0,Palo Alto,Health and Wellness,9.9375,|Semiconductors|Clean Technology|
Krillion,3.4,Enterprise Software,Menlo Park,1,1,Menlo Park,Enterprise Software,10.0,|Curated Web|
IPLocks,12.8,Health Care,Newark,4,1,Other_city,Health Care,9.0,|Security|
Funtigo Corporation,24.1095,Video,San Francisco,2,0,San Francisco,Video,10.0,|Photography|
ClickShift,5.0,Mobile Games,San Francisco,1,1,San Francisco,Other_market,10.0,|Software|
N-Sided,7.05,Enterprise Software,San Francisco,1,0,San Francisco,Enterprise Software,8.0,|Software|
NearbyNow,4.325,Mobile Advertising,Palo Alto,3,1,Palo Alto,Other_market,10.0,|Curated Web|
Compiere,3.45,Biotechnology,San Jose,1,0,San Jose,Biotechnology,10.0,|Enterprise Software|
Adeze,6.525,Web Development,San Francisco,3,0,San Francisco,Other_market,8.333333333333334,|Advertising|
OpVista,30.0,Consumer Goods,San Francisco,4,0,San Francisco,Other_market,10.0,|Telecommunications|Cable|Networking|Software|
Aligo,1.5,Security,Santa Clara,0,0,Santa Clara,Security,10.0,|Mobile|
Youth Noise,0.05,Curated Web,San Francisco,0,0,San Francisco,Curated Web,6.0,|SEO|Consulting|Internet Marketing|Nonprofits|
Stretch,4.0,Education,San Francisco,3,1,San Francisco,Education,10.0,|Semiconductors|
Attune Systems,139.5,Enterprise Software,San Leandro,2,0,Other_city,Enterprise Software,9.25,|Hardware + Software|
WhiteHat Security,37.0,E-Commerce,San Bruno,4,0,Other_city,E-Commerce,9.875,|Security|
Genelabs Technologies,46.819,Biotechnology,Cupertino,0,1,Other_city,Biotechnology,9.0,|Biotechnology|
Cranite Systems,4.815,Software,San Francisco,3,0,San Francisco,Software,10.0,|Enterprise Software|
DVDPlay,8.1,Education,San Carlos,0,0,Other_city,Education,9.75,|Automated Kiosk|Manufacturing|Entertainment|
Yodlee,2.25,Diabetes,San Francisco,0,0,San Francisco,Other_market,10.0,|Finance|
Scintera Networks,125.7,Music,San Francisco,3,1,San Francisco,Music,10.0,|Semiconductors|
ePAC Technologies,8.45,Enterprise Software,San Mateo,3,0,San Mateo,Enterprise Software,10.0,|Software|
ArcSight,3.5,CRM,San Francisco,3,1,San Francisco,Other_market,9.333333333333334,|Security|
Metacafe,28.679147,Software,San Francisco,3,1,San Francisco,Software,10.0,|Television|Music|Sports|Video Games|Entertainment|Video|Games|
Vuze,72.002285,Semiconductors,Newark,3,0,Other_city,Semiconductors,10.0,|Software|
Aeluros,0.055,Software,Oakland,0,1,Other_city,Software,9.25,|Semiconductors|
Kontera,55.0,Nanotechnology,Sunnyvale,4,1,Sunnyvale,Other_market,9.692307692307692,|Analytics|Big Data|Advertising|
Aerohive Networks,23.7,Network Security,Santa Clara,6,0,Santa Clara,Other_market,10.0,|Technology|Mobile|
KonaWare,108.0,Semiconductors,Santa Clara,3,1,Santa Clara,Semiconductors,7.0,|Software|
inSilica,3.0,Health and Wellness,San Jose,0,0,San Jose,Health and Wellness,9.6,|Semiconductors|
Exaprotect,20.0,Online Gaming,San Francisco,1,1,San Francisco,Other_market,9.833333333333334,|Security|
Gear6,2.0,Audio,San Francisco,3,1,San Francisco,Other_market,10.0,|Databases|Web Hosting|
Novalux,25.675,Hardware + Software,Palo Alto,2,0,Palo Alto,Hardware + Software,,
Singulex,4.48,Digital Media,San Francisco,7,0,San Francisco,Other_market,10.0,|Biotechnology|
Berkeley Design Automation,40.0,Health Care,Fremont,2,1,Other_city,Health Care,9.8,|Nanotechnology|
Availigent,0.310121,Content,San Francisco,2,0,San Francisco,Other_market,10.0,|Software|
Trinity Biosystems,8.0,Software,San Francisco,2,0,San Francisco,Software,9.777777777777779,|Biotechnology|
Azteq Mobile,0.02,Health and Wellness,San Francisco,0,0,San Francisco,Health and Wellness,9.333333333333334,|Mobile|
Matisse Networks,0.02,Health and Wellness,Mountain View,2,0,Mountain View,Health and Wellness,10.0,|Web Hosting|
InvisibleCRM,86.7,Mobile,Mountain View,1,0,Mountain View,Mobile,8.0,|Enterprise Software|
Kosan Biosciences,17.8,Crowdsourcing,San Francisco,0,1,San Francisco,Other_market,10.0,|Biotechnology|
CardioDx,18.0,Curated Web,San Francisco,4,0,San Francisco,Curated Web,10.0,|Biotechnology|
Stylehive,0.5,Enterprise Software,San Mateo,0,1,San Mateo,Enterprise Software,10.0,|Social Buying|Fashion|
Digital Chocolate,1.0,Fashion,Sunnyvale,4,0,Sunnyvale,Other_market,9.846153846153847,|Mobile Games|Facebook Applications|Social Games|iPhone|Games|
Accept Software,7.5,SaaS,San Francisco,3,1,San Francisco,SaaS,9.5,|Career Management|Software|
SS8 Networks,7.7701,Big Data Analytics,San Francisco,2,0,San Francisco,Other_market,9.857142857142858,|Security|
Allvoices,113.8,Point of Sale,San Francisco,1,1,San Francisco,Other_market,10.0,|Journalism|Media|News|
Sanovi Technologies,4.1,Health and Wellness,Mountain View,2,0,Mountain View,Health and Wellness,10.0,|Software|
"Splashtop, Inc",19.367098,Biotechnology,Redwood City,4,0,Redwood City,Biotechnology,9.458333333333334,|Environmental Innovation|Internet|Software|
Viagogo,30.143747,Social Buying,Pleasanton,4,0,Other_city,Other_market,9.2,|E-Commerce|Databases|Curated Web|
Gydget,0.8,iOS,San Carlos,1,1,Other_city,Other_market,10.0,|Networking|Web Tools|Games|
BrightRoll,31.0,Clean Technology,Hayward,4,1,Other_city,Clean Technology,9.75,|Advertising Platforms|Online Video Advertising|Advertising|Software|
Yoono,16.5,E-Commerce,Palo Alto,1,0,Palo Alto,E-Commerce,10.0,|Social Media|
Reveal Technology,0.25,E-Commerce,Mountain View,1,0,Mountain View,E-Commerce,10.0,|Software|
4Home,12.4,Recruiting,Mountain View,2,1,Mountain View,Other_market,10.0,|Automotive|Clean Energy|Internet|Cloud Computing|Wireless|Software|
Adify,7.5,Software,Palo Alto,2,1,Palo Alto,Software,10.0,|Advertising|
GoLive! Mobile,81.575,Clean Technology,Sunnyvale,0,0,Sunnyvale,Clean Technology,2.0,|Advertising|App Marketing|Mobile|
Habeas,2.0,Advertising,Campbell,0,1,Other_city,Advertising,9.666666666666666,|Enterprise Software|
Carrier IQ,50.0,SaaS,San Francisco,4,0,San Francisco,SaaS,10.0,|Wireless|Mobile|
Oxford Semiconductor,135.100005,Health Care,Novato,2,0,Other_city,Health Care,10.0,|Semiconductors|
Codexis,14.0,Software,San Francisco,4,0,San Francisco,Software,9.8,|Biotechnology|
Questra,6.825,Social Media Monitoring,San Mateo,4,1,San Mateo,Other_market,10.0,|M2M|Software|
Nodality,4.935,Enterprise Software,Redwood City,3,0,Redwood City,Enterprise Software,10.0,|Biotechnology|
Acumen Pharmaceuticals,3.272,Software,San Jose,0,0,San Jose,Software,9.0,|Biotechnology|
Iamba Networks,39.0,Analytics,San Francisco,2,0,San Francisco,Analytics,10.0,|Public Relations|
Unisfair,3.45,Health Care,Palo Alto,3,1,Palo Alto,Health Care,10.0,|Enterprise Software|
Azaire Networks,6.725,Electronic Health Records,Mountain View,3,0,Mountain View,Other_market,9.75,|Mobile|
B-hive Networks,14.6,Manufacturing,Sunnyvale,1,1,Sunnyvale,Other_market,10.0,|Networking|Finance|
PlayPhone,0.04,Biotechnology,Berkeley,3,0,Other_city,Biotechnology,10.0,|Games|
Amitive,7.659999,Enterprise Software,Palo Alto,1,0,Palo Alto,Enterprise Software,9.5,|Software|
Groxis,24.0,Big Data Analytics,San Francisco,2,0,San Francisco,Other_market,8.5,|Enterprise Software|
IntegenX,1.0,Marketplaces,Santa Clara,3,0,Santa Clara,Other_market,9.736842105263158,|Analytics|Biotechnology|
Picaboo,11.5,E-Commerce,San Francisco,2,0,San Francisco,E-Commerce,7.714285714285714,|Photography|
BMG Controls,0.15,Health and Insurance,San Francisco,0,0,San Francisco,Other_market,10.0,|Software|
Efficient Frontier,1.5,Games,Palo Alto,3,1,Palo Alto,Games,10.0,|Advertising|
BoardVantage,25.9,Recruiting,San Francisco,4,0,San Francisco,Other_market,10.0,|Enterprise Software|
Soonr,0.9,Education,San Francisco,4,0,San Francisco,Education,10.0,|Cloud Computing|Security|Mobile|Enterprise Software|
Dogster,58.25,Health and Wellness,Redwood City,0,1,Redwood City,Health and Wellness,8.222222222222221,|Social Network Media|Social Media|Pets|
Revision3,13.9,Curated Web,Palo Alto,2,1,Palo Alto,Curated Web,9.5,|Social Bookmarking|Video|Games|
GainSpan,3.7,Employment,Mountain View,4,0,Mountain View,Other_market,9.793103448275861,|Semiconductors|
Swivel,4.77,Mobile,San Francisco,1,0,San Francisco,Mobile,8.0,|Search|
AdMob,43.5,Enterprise Software,Redwood City,3,1,Redwood City,Enterprise Software,9.9,|Mobile|Advertising|
Miyowa,4.7,Gamification,San Francisco,2,1,San Francisco,Other_market,9.25,|Social Media|
Exeros,4.25,Software,San Francisco,2,1,San Francisco,Software,10.0,|Analytics|
Kilopass,0.584988,Web Development,San Mateo,4,0,San Mateo,Other_market,9.857142857142858,|Semiconductors|
Alvine Pharmaceuticals,65.2,Analytics,San Mateo,1,0,San Mateo,Analytics,10.0,|Biotechnology|
Liquid Engines,2.3,Facebook Applications,Redwood Shores,3,1,Other_city,Other_market,10.0,|Software|
Mobixell Networks,4.205538,Biotechnology,Palo Alto,1,1,Palo Alto,Biotechnology,9.384615384615385,|Mobile|
Promptu Systems,71.0,Medical Devices,Menlo Park,3,0,Menlo Park,Other_market,9.5,|Mobile|
OpSource,15.7,Automotive,San Francisco,5,0,San Francisco,Other_market,9.76923076923077,|Networking|Cloud Security|PaaS|SaaS|IaaS|Cloud Computing|Web Hosting|
PBworks,119.0,Analytics,San Mateo,1,0,San Mateo,Analytics,8.88888888888889,|Cloud Computing|Enterprises|Productivity Software|Collaboration|Social Media|Web Tools|Enterprise Software|
Sonim Technologies,7.0,Creative,Mountain View,0,0,Mountain View,Other_market,9.4,|Mobile|
Vyatta,1.85,Sensors,San Francisco,4,1,San Francisco,Other_market,10.0,|Software|
