company_name,company_market,company_city,company_category_list,company_city,total_funding,investor_rating,company_max_round,keyword_clusters,final_cluster
VirtualLogix,Software,Sunnyvale,|Mobile|Virtualization|Software|,Sunnyvale,29.288979,10.0,2.0,22,94
Deem,E-Commerce,San Francisco,|Trading|Marketplaces|Content Syndication|Productivity Software|E-Commerce|,San Francisco,516.905435,9.821428571428571,8.0,21,25
Pandora Media,Broadcasting,Oakland,|Broadcasting|Video Streaming|Music|,Oakland,56.3,9.727272727272727,4.0,27,38
PlayFirst,Games,San Francisco,|iPhone|Mobile Games|Games|,San Francisco,37.72,10.0,3.0,3,29
Socialtext,Enterprise Software,Palo Alto,|Collaboration|Software|Networking|Web Tools|Enterprise Software|,Palo Alto,46.77,9.818181818181818,4.0,26,4
SideStep,Hotels,Santa Clara,|Ticketing|Hotels|Travel|,Santa Clara,32.0,10.0,3.0,15,41
Soundflavor,Music,San Francisco,|Ediscovery|Music|,San Francisco,5.8,7.4,1.0,16,16
Executive Caddie,iPhone,Mountain View,|Windows Phone 7|iPhone|Sports|Software|,Mountain View,3.0,6.0,0.0,22,9
VisualOn,Software,San Jose,|Software|,San Jose,2.7,7.5,2.0,6,1
Innovative Silicon,Semiconductors,Santa Clara,|Semiconductors|,Santa Clara,72.0,10.0,3.0,4,75
Gracenote,Music,Emeryville,|Music|Games|,Emeryville,33.4,9.25,4.0,16,16
Aperto Networks,Mobile,Milpitas,|Wireless|Mobile|,Milpitas,160.279779,9.972972972972974,6.0,22,58
Polimetrix,Analytics,Palo Alto,|Analytics|,Palo Alto,3.0,10.0,1.0,13,39
StrongView,Enterprise Software,Redwood City,|SaaS|Advertising|Displays|Social Media|Email Marketing|Enterprise Software|,Redwood City,38.1,10.0,4.0,7,17
Mobissimo,Travel,San Francisco,|Travel|,San Francisco,1.0,10.0,0.0,15,41
Plaxo,Curated Web,Sunnyvale,|Trading|Synchronization|Databases|Contact Management|Curated Web|,Sunnyvale,28.3,10.0,4.0,22,94
LiveOps,Cloud Computing,Redwood City,|Crowdsourcing|Cloud Computing|Enterprise Software|,Redwood City,81.0,9.857142857142858,3.0,24,93
Tesla Motors,Automotive,Palo Alto,|Automotive|,Palo Alto,823.0,9.852941176470589,6.0,22,15
Firetide,Mobile,Campbell,|Mobile|,Campbell,39.79,9.6,5.0,5,99
Art.com,Design,Emeryville,|Art|Design|,Emeryville,26.24,10.0,3.0,22,94
CAPNIA,Health Care,Palo Alto,|Health Care|Health and Wellness|Gas|Medical|Biotechnology|,Palo Alto,22.219087,10.0,2.0,18,5
Blazent,Enterprise Software,San Mateo,|Enterprise Software|,San Mateo,51.27526,10.0,3.0,1,22
eASIC,Semiconductors,Santa Clara,|Semiconductors|,Santa Clara,139.143676,9.95,5.0,4,43
ChemoCentryx,Health Care,Mountain View,|Health Care|Biotechnology|,Mountain View,80.54,9.8125,4.0,0,66
Sadra Medical,Health Care,Campbell,|Health Care|,Campbell,62.0,9.8,3.0,0,80
Nanostellar,Nanotechnology,Redwood City,|Nanotechnology|,Redwood City,13.05,9.0,5.0,22,94
Danger,Software,Palo Alto,|Software|,Palo Alto,118.3,10.0,5.0,6,51
Alpha and Omega Semiconductor,Technology,Sunnyvale,|Technology|Semiconductors|,Sunnyvale,1.75,5.0,0.0,4,20
Fathom Online,Advertising,San Francisco,|Advertising|,San Francisco,6.0,10.0,1.0,8,23
Akimbo,Personal Branding,San Mateo,|Recruiting|Personal Branding|Games|,San Mateo,36.15,10.0,4.0,22,61
Mode Media,Fashion,Brisbane,|Women|Fashion|Curated Web|,Brisbane,214.6,9.956521739130435,6.0,9,35
Teneros,Messaging,Mountain View,|Enterprises|Messaging|,Mountain View,92.5,10.0,4.0,17,32
AllBusiness.com,Curated Web,San Francisco,|Small and Medium Businesses|Publishing|Media|Curated Web|,San Francisco,22.4,10.0,3.0,22,94
Yelp,Customer Service,San Francisco,|Customer Service|Reviews and Recommendations|Search|,San Francisco,56.0,10.0,5.0,19,77
mBlox,SMS,Sunnyvale,|Wireless|SMS|Mobile|,Sunnyvale,121.84273,9.833333333333334,4.0,22,0
Zend Technologies,PaaS,Cupertino,|PaaS|SaaS|Mobile|Services|Cloud Computing|Software|,Cupertino,44.0,9.88888888888889,4.0,24,11
Elance,Curated Web,Mountain View,|Freelancers|Human Resources|Outsourcing|Employment|Career Management|Curated Web|,Mountain View,94.828397,10.0,0.0,22,0
SugarCRM,Enterprise Software,Cupertino,|Cloud Computing|Enterprise Software|CRM|Software|,Cupertino,100.52,10.0,6.0,24,93
JotSpot,Software,Palo Alto,|Software|,Palo Alto,5.2,10.0,1.0,6,1
MobiTV,Games,Emeryville,|Games|,Emeryville,142.799,10.0,4.0,3,98
AccountNow,Finance,San Ramon,|Finance|,San Ramon,34.072,9.2,3.0,14,27
Craigslist,Curated Web,San Francisco,|Curated Web|,San Francisco,13.5,10.0,0.0,9,6
BitPass,Curated Web,Mountain View,|Curated Web|,Mountain View,13.3,9.833333333333334,2.0,9,6
Technorati,Advertising,San Francisco,|Search|Advertising|,San Francisco,32.1,9.6,4.0,19,33
imeem,Photography,San Francisco,|Video|Photography|Music|,San Francisco,27.132127,9.0,1.0,16,16
adBrite,Publishing,San Francisco,|Auctions|Publishing|Advertising|,San Francisco,40.4,10.0,3.0,22,61
"Become, Inc.",E-Commerce Platforms,Sunnyvale,|Comparison Shopping|Advertising Platforms|Performance Marketing|E-Commerce Platforms|Shopping|Search|,Sunnyvale,37.2,8.8,4.0,22,61
Facebook,Communities,Menlo Park,|Communities|Identity|All Students|Colleges|Facebook Applications|Social Media|,Menlo Park,2425.7,10.0,4.0,22,26
EndoGastric Solutions,Health Care,San Mateo,|Health Care|,San Mateo,156.250914,9.97872340425532,7.0,0,42
LinkedIn,Software,Mountain View,|Social Recruiting|Software|Networking|Social Media|,Mountain View,206.121421,9.909090909090908,5.0,26,81
Orb Networks,Software,Oakland,|Software|,Oakland,4.0,10.0,1.0,6,1
Simply Hired,Search,Sunnyvale,|Search|,Sunnyvale,34.3,7.944444444444445,5.0,19,33
IronPort Systems,Security,San Bruno,|Security|,San Bruno,61.5,10.0,4.0,12,28
Linden Lab,Games,San Francisco,|Games|,San Francisco,19.0,9.666666666666666,2.0,3,29
Switchfly,Software,San Francisco,|Software|,San Francisco,34.7999,9.25,3.0,6,84
Sling Media,Hardware + Software,Foster City,|Television|Hardware + Software|,Foster City,14.5,10.0,1.0,10,21
AirTight Networks,Wireless,Mountain View,|Wireless|Security|,Mountain View,46.75,10.0,4.0,12,28
Splunk,Software,San Francisco,|Software|,San Francisco,40.0,10.0,3.0,6,84
Affinity Circles,Software,Sunnyvale,|Career Management|Alumni|Social Recruiting|Software|,Sunnyvale,5.54,7.0,3.0,22,9
BlackArrow,Advertising,San Jose,|Advertising|,San Jose,59.763076,9.789473684210526,3.0,8,72
Snocap,Games,San Francisco,|Content|Social Network Media|Peer-to-Peer|Games|,San Francisco,25.0,10.0,3.0,7,17
SiBEAM,Mobile,Sunnyvale,|Semiconductors|Mobile|,Sunnyvale,113.75,10.0,4.0,4,43
Eurekster,Social Media,San Francisco,|Social Media|,San Francisco,6.85,8.0,2.0,7,88
PostPath,Messaging,Mountain View,|Messaging|,Mountain View,24.3,10.0,3.0,17,32
CipherMax,Security,San Jose,|Security|,San Jose,141.535713,10.0,2.0,12,97
BiPar Sciences,Health and Wellness,Brisbane,|Health and Wellness|Biotechnology|,Brisbane,73.0,10.0,3.0,18,5
Mu Dynamics,Web Hosting,Sunnyvale,|Web Hosting|,Sunnyvale,24.0,10.0,3.0,28,12
3Leaf,Web Hosting,Santa Clara,|Web Hosting|,Santa Clara,65.0,10.0,3.0,28,89
NextBio,Enterprise Software,Santa Clara,|Enterprise Software|,Santa Clara,16.1,10.0,3.0,1,47
ITM Software,Software,Santa Clara,|Software|,Santa Clara,10.0,10.0,4.0,6,1
Knowlent,Software,Santa Clara,|Software|,Santa Clara,3.6,7.75,2.0,6,1
Altierre,Wireless,San Jose,|Wireless|Education|Mobile|,San Jose,85.1,10.0,6.0,20,92
Lala,Music,Palo Alto,|Music|,Palo Alto,44.15,9.88888888888889,3.0,16,16
Meez,Games,San Francisco,|Messaging|3D|Entertainment|Games|,San Francisco,10.2,10.0,3.0,17,32
Code Green Networks,Enterprise Software,Sunnyvale,|Enterprise Software|,Sunnyvale,34.000418,10.0,3.0,1,22
Zmanda,Software,Sunnyvale,|Software|,Sunnyvale,13.0,10.0,2.0,6,1
PeerMe,Games,Mountain View,|VoIP|Games|,Mountain View,5.0,7.0,1.0,3,29
Wink,Search,Mountain View,|Search|,Mountain View,6.2,10.0,1.0,19,33
Ample Communications,Hardware + Software,Fremont,|Hardware + Software|,Fremont,10.5,10.0,0.0,10,21
BlueArc,Web Hosting,San Jose,|Web Hosting|,San Jose,221.0,9.9,5.0,28,74
Apieron,Biotechnology,Menlo Park,|Medical Devices|Biotechnology|Health Care|,Menlo Park,43.5,10.0,4.0,0,80
ooma,Peer-to-Peer,Palo Alto,|Peer-to-Peer|Social Media|VoIP|Mobile|Hardware + Software|,Palo Alto,81.312915,10.0,4.0,22,0
Exavio,Games,Santa Clara,|Games|,Santa Clara,10.0,9.875,3.0,3,29
Aggregate Knowledge,Advertising,San Mateo,|Advertising|,San Mateo,74.311925,9.8,5.0,8,72
Workday,Technology,Pleasanton,|Technology|World Domination|Colleges|Finance|SaaS|Human Resources|Web Development|Enterprise Software|,Pleasanton,175.0,10.0,6.0,22,58
